Name,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
Alabama,State,1910,"2,138,093",16.9,42.2,25,10,1,"213,809"
Alaska,State,1910,"64,356",1.2,0.1,52,,,
Arizona,State,1910,"204,354",66.2,1.8,49,,,
Arkansas,State,1910,"1,574,449",20,30.3,30,7,0,"224,921"
California,State,1910,"2,377,549",60.1,15.3,38,11,3,"216,051"
Colorado,State,1910,"799,024",48,7.7,42,4,1,"199,643"
Connecticut,State,1910,"1,114,756",22.7,230.2,6,5,0,"222,951"
Delaware,State,1910,"202,322",9.5,103.8,11,1,0,"202,322"
District of Columbia,State,1910,"331,069",18.8,"5,423.10",1,,,
Florida,State,1910,"752,619",42.4,14,40,4,1,"188,155"
Georgia,State,1910,"2,609,121",17.7,45.4,23,12,1,"217,427"
Hawaii,State,1910,"191,909",24.6,29.9,31,,,
Idaho,State,1910,"325,594",101.3,3.9,46,2,1,"161,720"
Illinois,State,1910,"5,638,591",16.9,101.6,12,27,2,"208,837"
Indiana,State,1910,"2,700,876",7.3,75.4,13,13,0,"207,760"
Iowa,State,1910,"2,224,771",-0.3,39.8,26,11,0,"202,252"
Kansas,State,1910,"1,690,949",15,20.7,35,8,0,"211,369"
Kentucky,State,1910,"2,289,905",6.6,58,14,11,0,"208,173"
Louisiana,State,1910,"1,656,388",19.9,38.3,29,8,1,"207,049"
Maine,State,1910,"742,371",6.9,24.1,33,4,0,"185,593"
Maryland,State,1910,"1,295,346",9,133.4,9,6,0,"215,891"
Massachusetts,State,1910,"3,366,416",20,431.6,3,16,2,"210,401"
Michigan,State,1910,"2,810,173",16.1,49.7,19,13,1,"216,167"
Minnesota,State,1910,"2,075,708",18.5,26.1,32,10,1,"207,438"
Mississippi,State,1910,"1,797,114",15.8,38.3,28,8,0,"224,639"
Missouri,State,1910,"3,293,335",6,47.9,21,16,0,"205,833"
Montana,State,1910,"376,053",54.5,2.6,48,2,1,"183,169"
Nebraska,State,1910,"1,192,214",11.8,15.5,37,6,0,"198,702"
Nevada,State,1910,"81,875",93.4,0.7,51,1,0,"80,293"
New Hampshire,State,1910,"430,572",4.6,48.1,20,2,0,"215,286"
New Jersey,State,1910,"2,537,167",34.7,345,4,12,2,"211,431"
New Mexico,State,1910,"327,301",67.6,2.7,47,,,
